New ID,Vendor,Charge_Date,Cardholder_Agency,PC_Number,Billing_Amount
163241,AMAZON,3/28/2023,Mayor's Office,PC-174970,175.71
163241,AMAZON,2/28/2023,Mayor's Office,PC-258682,71.27
252146,AMAZON,2/7/2023,Mayor's Office,PC-272164,24.34
163241,AMAZON,11/6/2023,Mayor's Office,PC-136222,157.31
163241,AMAZON,3/30/2023,Mayor's Office,PC-258613,59.39
252146,AMAZON,2/1/2023,Mayor's Office,PC-117481,95.78
163241,AMAZON,10/11/2023,Mayor's Office,PC-240665,33.04
163241,AMAZON,10/13/2023,Mayor's Office,PC-105145,33.13
163241,AMAZON,4/24/2023,Mayor's Office,PC-127903,7.83
163241,AMAZON,5/30/2023,Mayor's Office,PC-198044,5.89
163241,AMAZON,12/1/2023,Mayor's Office,PC-106482,275
163241,AMAZON,8/8/2023,Mayor's Office,PC-179211,19.79
247835,AMAZON,2/6/2023,Mayor's Office,PC-123218,281.19
163241,AMAZON,5/1/2023,Mayor's Office,PC-274934,97.5
247835,AMAZON,2/3/2023,Mayor's Office,PC-207105,11.87
163241,AMAZON,5/31/2023,Mayor's Office,PC-219676,17.88
163241,AMAZON,4/28/2023,Mayor's Office,PC-141557,24.5
