Shape,NBHD_NAME,TTL_POPULATION_ALL,HISPANIC_OR_LATINO,WHITE,BLACK,NATIVE_AMERICAN,ASIAN,HAWAIIAN_PI,OTHER_RACE,TWO_OR_MORE,PCT_HISPANIC,PCT_WHITE,PCT_BLACK,PCT_NATIVEAM,PCT_ASIAN,PCT_HAWAIIANPI,PCT_OTHERRACE,PCT_TWOORMORE_RACES,MALE,FEMALE,AGE_LESS_5,AGE_5_TO_9,AGE_10_TO_14,AGE_15_TO_17,AGE_0_TO_9,AGE_10_TO_19,AGE_20_TO_29,AGE_30_TO_39,AGE_40_TO_49,AGE_50_TO_59,AGE_60_TO_69,AGE_70_TO_79,AGE_80_PLUS,AGELESS18,AGE65PLUS,PCT_AGELESS18,PCT_AGE65PLUS,MEDIAN_AGE_ALL,MEDIAN_AGE_MALE,MEDIAN_AGE_FEMALE,TTL_AGE_3_PLUS_ENRSTATUS,ENROLLED_IN_SCHOOL,NURSERY_OR_PRESCHOOL,KINDERGARTEN,GRADES_1_TO_4,GRADES_5_TO_8,GRADES_9_TO_12,COLLEGE_UNDERGRADUATE,GRADUATE_SCHOOL,NOT_ENROLLED,TOTAL_COMMUTERS,COMMUTE_LESS_15,COMMUTE_15_TO_30,COMMUTE_30_TO_45,COMMUTE_45_TO_60,COMMUTE_60_TO_PLUS,TTLPOP_25PLUS_EDU,LESS_THAN_HS_DIPLOMA_EDU,HSGRAD_OR_EQUIV_EDU,SOMECOLLEGE_OR_AA_EDU,BACHELORS_OR_HIGHER_EDU,TTLPOP_5PLUS_LNG,ONLY_ENGLISH_LNG,SPANISH_LNG,TTL_HOUSING_UNITS,OCCUPIED_HU,VACANT_HU,OWNER_OCCUPIED_HU,RENTER_OCCUPIED_HU,TTL_HOUSEHOLDS,FAMILY_HOUSEHOLDS,MARRIED_COUPLE_FAMILY,OTHER_FAMILY,MALE_HHLDR_NO_WIFE_PRESENT,FEMALE_HHLDR_NO_HSBND_PRESENT,NONFAMILY_HOUSEHOLD,HOUSEHOLDER_ALONE,HOUSEHOLDER_NOT_ALONE,HH_INC_LESS_10000,HH_INC_10000_14999,HH_INC_15000_19999,HH_INC_20000_24999,HH_INC_25000_29999,HH_INC_30000_34999,HH_INC_35000_39999,HH_INC_40000_44999,HH_INC_45000_49999,HH_INC_50000_59999,HH_INC_60000_74999,HH_INC_75000_99999,HH_INC_100000_124999,HH_INC_125000_149999,HH_INC_150000_199999,HH_INC_OVER_200000,MED_HH_INCOME,MED_FAMILY_INCOME,PER_CAPITA_INCOME,AVG_HH_INCOME,AVG_FAM_INCOME,MEDIAN_EARNINGS,MEDIAN_EARN_MALE,MEDIAN_EARN_FEMALE,MEDEARN_LESSHS,MEDEARN_HIGHSCHOOL,MEDEARN_SOMECOLLEGE,MEDEARN_BACHELORS,MEDEARN_GRAD_PROFESSIONAL,MED_YR_STRUCTURE_BUILT,BUILT_2014_OR_LATER,BUILT_2010_2013,BUILT_2000_2009,BUILT_1990_1999,BUILT_1980_1989,BUILT_1970_1979,BUILT_1960_1969,BUILT_1950_1959,BUILT_1940_1949,BUILT_1939_OR_EARLIER,MED_CONTRACT_RENT,MED_GROSS_RENT,MEDIAN_HOME_VALUE,NATIVE,FOREIGN_BORN_FB,EUROPEAN_FB,NORTHERN_EUROPE_FB,WESTERN_EUROPE_FB,SOUTHERN_EUROPE_FB,EASTERN_EUROPE_FB,ASIA_FB,EASTERN_ASIA_FB,SOUTH_CENTRAL_ASIA_FB,SOUTH_EASTERN_ASIA_FB,WESTERN_ASIA_FB,AFRICA_FB,EASTERN_AFRICA_FB,MIDDLE_AFRICA_FB,SOUTHERN_AFRICA_FB,WESTERN_AFRICA_FB,OCEANIA_FB,AMERICAS_FB,LATIN_AMERICA_FB,CARRIBEAN_FB,CENTRAL_AMERICA_FB,SOUTH_AMERICA_FB,NORTH_AMERICA_FB,PCT_POVERTY,PCT_FAM_POVERTY
<geoprocessing describe geometry object object at 0x0F132A00>,Washington Virginia Vale,14775.0,2316.0,8098.0,2642.0,13.0,665.0,0.0,180.0,861.0,15.6751269,54.80879865,17.88155668,0.08798646,4.50084602,0.0,1.21827411,5.82741117,7643.0,7132.0,814.0,894.0,790.0,401.0,1708.0,1498.0,2909.0,2681.0,2243.0,1317.0,993.0,871.0,555.0,2899.0,2738.0,19.62098139,18.53130288,34.27172697,32.86895307,35.77083333,14336,3199,223,227,741,476,636,651,245,11137,6853.0,1546.0,2538.0,2076.0,356.0,337.0,10710.0,541.0,1814.0,2659.0,5696.0,13961.0,10848.0,938.0,7353,6737,616,2878,3859,6737,3048,1914,1134,369,765,3689,2601,1088,383,247,187,197,400,201,326,634,355,698,674,654,504,376,422,479,56282,68623,38425,85537,101677,38374,40554,33180,0,21736,37190,38118,59192,1971.9502437,0,33,200,661,854,2462,1884,1155,79,25,948,965,437046,12448,2327,542,36,0,55,451,641,68,334,118,121,683,106,41,0,129,22,439,396,13,318,65,43,13.175,7.08497777
<geoprocessing describe geometry object object at 0x04439780>,Washington Park West,7382.0,555.0,6167.0,59.0,0.0,202.0,0.0,0.0,399.0,7.51828773,83.54104579,0.7992414,0.0,2.7363858,0.0,0.0,5.40503928,4028.0,3354.0,398.0,222.0,217.0,72.0,620.0,329.0,1677.0,2058.0,924.0,847.0,506.0,355.0,66.0,909.0,905.0,12.31373611,12.25955026,34.6574344,33.76132075,35.60921844,7141,1028,132,59,117,205,94,217,204,6113,3705.0,688.0,1711.0,1031.0,150.0,125.0,5974.0,91.0,394.0,768.0,4721.0,6984.0,6410.0,278.0,4121,3887,234,1878,2009,3887,1417,1196,221,60,161,2470,1645,825,131,122,20,72,92,137,161,138,58,256,332,463,328,303,473,801,97920,154719,70630,134188,188029,62336,63980,60213,6458,0,20491,69479,88584,1939.0,0,455,185,50,56,128,125,413,192,2517,1036,1081,680135,6969,413,76,41,0,35,0,177,49,69,51,8,14,14,0,0,0,23,123,123,0,123,0,0,6.35,3.54105802
<geoprocessing describe geometry object object at 0x046AFC00>,Sun Valley,1133.0,505.0,88.0,457.0,35.0,46.0,0.0,0.0,2.0,44.57193292,7.76699029,40.33539276,3.08914387,4.06001765,0.0,0.0,0.17652251,553.0,580.0,155.0,168.0,167.0,123.0,323.0,323.0,54.0,299.0,29.0,40.0,34.0,15.0,16.0,613.0,52.0,54.10414828,4.58958517,16.8,12.8,30.8,1058,546,67,16,154,128,141,40,0,512,276.0,72.0,114.0,40.0,0.0,50.0,474.0,161.0,196.0,68.0,49.0,978.0,709.0,92.0,422,383,39,36,347,383,325,75,250,7,243,58,58,0,124,21,50,101,35,29,0,0,0,0,0,0,23,0,0,0,19650,20292,7970,22163,23720,16350,27552,11750,18015,16450,2499,0,0,1952.0,0,0,0,0,7,61,70,95,110,79,193,239,535700,996,137,1,0,0,1,0,27,0,0,27,0,91,19,55,0,17,0,18,18,0,18,0,0,77.7,75.38461538
<geoprocessing describe geometry object object at 0x02AB9100>,Cory - Merrill,4215.0,213.0,3572.0,15.0,3.0,240.0,0.0,6.0,166.0,5.05338078,84.74495848,0.35587189,0.07117438,5.69395018,0.0,0.14234875,3.93831554,2215.0,2000.0,286.0,292.0,229.0,154.0,578.0,477.0,269.0,881.0,598.0,421.0,568.0,334.0,89.0,961.0,821.0,22.7995255,19.47805457,39.0,38.7,39.6,4038,1036,130,67,225,171,194,167,82,3002,1528.0,538.0,588.0,265.0,62.0,75.0,3030.0,21.0,202.0,437.0,2370.0,3929.0,3539.0,114.0,1783,1704,79,1403,301,1704,1132,1003,129,50,79,572,412,160,43,13,0,32,0,56,31,8,10,65,108,94,220,169,323,532,150441,182174,82192,201440,239710,95000,115387,73007,0,0,60769,109363,79659,1954.0,0,139,317,38,105,16,61,362,469,276,1942,1995,723700,3927,288,124,45,30,9,40,137,40,73,24,0,11,0,0,11,0,0,16,16,0,0,16,0,5.2,1.41342756
<geoprocessing describe geometry object object at 0x044397E0>,Rosedale,2713.0,502.0,1911.0,142.0,11.0,77.0,0.0,0.0,70.0,18.50350166,70.43862882,5.23405824,0.40545522,2.83818651,0.0,0.0,2.58016955,1274.0,1439.0,183.0,68.0,91.0,19.0,251.0,110.0,689.0,573.0,364.0,210.0,254.0,123.0,139.0,361.0,422.0,13.30630299,15.55473645,34.3,36.0,33.2,2664,357,42,36,41,82,19,43,94,2307,1371.0,219.0,723.0,260.0,142.0,27.0,2246.0,82.0,188.0,540.0,1436.0,2530.0,2207.0,210.0,1489,1400,89,670,730,1400,489,425,64,57,7,911,624,287,52,0,16,63,33,46,113,20,21,124,112,151,136,64,299,150,89400,128393,54712,109105,146813,65087,71774,57036,0,0,36250,68988,80385,1952.0,0,87,10,17,112,95,195,300,305,368,1633,1671,593000,2534,179,37,6,11,0,20,40,0,0,24,16,0,0,0,0,0,0,102,102,24,62,16,0,7.5,0.0
<geoprocessing describe geometry object object at 0x04439600>,Montbello,35167.0,23129.0,2948.0,6603.0,190.0,905.0,135.0,115.0,1142.0,65.76904484,8.38285893,18.77612534,0.54027924,2.57343532,0.38388262,0.32701112,3.24736258,18109.0,17058.0,2313.0,2831.0,3253.0,2223.0,5144.0,6794.0,4930.0,4839.0,5502.0,3668.0,2298.0,1426.0,566.0,10620.0,3942.0,30.19876589,11.20937242,31.33075015,31.49151584,31.13580247,33783,10024,276,400,2485,2621,2565,1538,139,23759,15008.0,2740.0,5473.0,3954.0,1012.0,1829.0,20901.0,6032.0,6432.0,5556.0,2881.0,32854.0,14220.0,17432.0,9934,9746,188,6162,3584,9746,7516,5326,2190,813,1377,2230,1732,498,365,255,449,279,380,386,314,426,430,929,1010,1254,1557,845,677,190,69801,75625,19634,69710,72740,32698,37019,27731,29295,28899,33918,34949,26002,1978.53888889,0,188,937,1661,2015,3240,1470,345,46,32,965,982,311076,25400,9767,100,0,70,0,30,828,81,103,624,20,180,124,0,0,22,109,8550,8550,86,8229,235,0,11.22857143,10.40948345
<geoprocessing describe geometry object object at 0x02AB9100>,Barnum West,5282.0,3811.0,1278.0,28.0,26.0,36.0,0.0,0.0,103.0,72.15070049,24.19538054,0.53010223,0.49223779,0.68156002,0.0,0.0,1.95001893,2728.0,2554.0,116.0,152.0,456.0,300.0,268.0,839.0,839.0,894.0,1112.0,560.0,452.0,205.0,113.0,1024.0,600.0,19.38659599,11.35933359,36.8,34.4,40.4,5178,1196,0,36,106,252,384,348,70,3982,2712.0,341.0,1165.0,987.0,111.0,108.0,3770.0,1118.0,1145.0,767.0,740.0,5166.0,2398.0,2659.0,2020,1945,75,1392,553,1945,1309,745,564,117,447,636,394,242,30,61,28,98,142,82,110,200,154,129,132,257,258,97,88,79,55205,61719,28903,74430,74792,36672,38915,35489,25085,36346,30946,52564,63793,1955.0,0,0,0,75,28,147,74,1383,144,169,1265,1443,333200,3999,1283,0,0,0,0,0,23,0,0,23,0,32,0,0,0,0,0,1228,1228,0,1175,53,0,3.7,2.67379679
<geoprocessing describe geometry object object at 0x046BA340>,CBD,4631.0,568.0,3255.0,320.0,0.0,129.0,0.0,21.0,338.0,12.26516951,70.28719499,6.90995465,0.0,2.78557547,0.0,0.45346577,7.2986396,2868.0,1763.0,0.0,13.0,0.0,7.0,13.0,392.0,1518.0,1013.0,660.0,522.0,308.0,185.0,20.0,20.0,399.0,0.43187217,8.61584971,33.48716683,35.78746594,27.99649369,4631,1189,0,0,0,0,27,1007,155,3442,2983.0,1197.0,847.0,412.0,396.0,131.0,3299.0,140.0,185.0,701.0,2273.0,4631.0,3903.0,330.0,3548,2826,722,759,2067,2826,710,693,17,17,0,2116,1672,444,273,85,117,27,191,69,41,97,28,139,122,267,402,285,111,572,95973,122247,104187,176544,364835,55950,73807,32806,0,28290,24190,124474,122160,1975.78225806,0,378,543,132,588,372,730,76,0,729,1081,1125,533235,4323,308,87,0,33,0,54,157,62,76,19,0,16,0,0,0,16,0,48,48,0,0,48,0,23.5,0.0
<geoprocessing describe geometry object object at 0x0F132A20>,Virginia Village,14885.0,2709.0,9865.0,1197.0,75.0,425.0,25.0,45.0,544.0,18.19952973,66.27477326,8.04165267,0.50386295,2.85522338,0.16795432,0.30231777,3.65468593,7630.0,7255.0,837.0,675.0,487.0,315.0,1512.0,1057.0,3091.0,3057.0,1935.0,1593.0,1403.0,808.0,429.0,2314.0,2191.0,15.54585153,14.71951629,35.24779195,35.11695906,35.38043478,14349,2756,213,163,499,438,445,594,404,11593,8026.0,1965.0,3636.0,1617.0,494.0,314.0,11320.0,679.0,1777.0,2700.0,6164.0,14048.0,11411.0,1350.0,7289,6905,384,2924,3981,6905,3136,2124,1012,413,599,3769,2731,1038,139,131,340,150,376,223,396,375,265,515,732,922,589,557,727,468,71116,83818,44837,97042,111900,40874,45181,37432,11792,35796,40578,51807,65622,1963.79080675,9,112,240,280,506,1572,1599,2684,154,133,960,972,476054,12798,2087,342,42,51,55,194,541,122,96,141,182,453,268,0,0,20,0,751,693,0,515,178,58,9.55,5.95878306
<geoprocessing describe geometry object object at 0x0F132980>,Central Park,29939.0,3162.0,20022.0,2694.0,164.0,2344.0,41.0,73.0,1439.0,10.561475,66.87598116,8.99829654,0.54778049,7.82925281,0.13694512,0.24382912,4.80643976,14806.0,15133.0,2689.0,2755.0,2781.0,1336.0,5444.0,4272.0,2574.0,5989.0,6142.0,3040.0,1457.0,819.0,202.0,9561.0,2429.0,31.93493437,8.11316343,34.02663216,33.59413469,34.39680818,28319,8579,944,493,2291,2390,1503,425,533,19740,11595.0,2103.0,4904.0,3387.0,828.0,373.0,19576.0,408.0,2178.0,3067.0,13923.0,27250.0,22491.0,1230.0,10555,10177,378,7153,3024,10177,7211,5953,1258,533,725,2966,2349,617,208,86,111,185,118,115,112,145,261,613,446,547,1247,1075,1633,3275,145801,175554,62006,186798,209612,75472,100308,54630,3490,41272,27820,81337,106787,2010.22554199,98,5489,4265,262,60,153,0,66,0,162,1151,1164,636942,26737,3202,411,93,84,0,234,1341,717,198,400,26,787,626,23,89,0,3,660,569,27,324,218,91,3.05,1.28836703
<geoprocessing describe geometry object object at 0x047725E0>,Bear Valley,8176.0,2493.0,4668.0,448.0,70.0,334.0,0.0,15.0,148.0,30.49168297,57.09393346,5.47945205,0.85616438,4.0851272,0.0,0.1834638,1.81017613,3998.0,4178.0,491.0,376.0,363.0,181.0,867.0,648.0,1568.0,1136.0,719.0,1034.0,814.0,853.0,537.0,1411.0,2139.0,17.25782779,26.16193738,37.96214789,37.64328358,38.42060086,7821,1456,36,58,303,365,193,412,89,6365,3743.0,831.0,1362.0,889.0,391.0,270.0,6196.0,467.0,1487.0,1593.0,2649.0,7685.0,6230.0,899.0,3866,3634,232,2382,1252,3634,1900,1322,578,181,397,1734,1309,425,81,45,147,77,86,226,359,312,145,213,342,561,283,338,239,180,65526,84291,39660,89612,111382,42771,53099,32241,0,37172,44644,47966,67973,1972.54334471,0,130,335,48,369,1465,1383,73,16,47,968,986,389212,7224,952,220,13,38,0,169,288,72,53,163,0,0,0,0,0,0,0,444,440,0,440,0,4,6.85,4.29065988
<geoprocessing describe geometry object object at 0x046BA340>,North Capitol Hill,7295.0,1197.0,5174.0,512.0,16.0,216.0,0.0,0.0,180.0,16.40849897,70.9252913,7.01850583,0.21932831,2.96093215,0.0,0.0,2.46744345,3509.0,3786.0,80.0,23.0,20.0,41.0,103.0,61.0,2897.0,1989.0,1014.0,306.0,480.0,332.0,113.0,164.0,726.0,2.24811515,9.95202193,32.65384615,33.6135159,31.38623104,7230,760,0,23,0,20,41,226,450,6470,4370.0,1008.0,2188.0,778.0,264.0,132.0,6441.0,129.0,677.0,995.0,4640.0,7215.0,6509.0,421.0,5240,4921,319,596,4325,4921,616,474,142,21,121,4305,3077,1228,340,270,125,298,102,99,168,141,80,381,481,756,504,232,523,421,74235,120333,62145,90843,142129,61069,66119,57454,0,7957,39368,74145,75295,1991.6373494,0,1076,865,830,302,251,210,128,82,1496,1009,1036,440000,6675,620,137,47,0,0,90,120,99,0,21,0,67,34,0,0,33,0,296,241,9,137,95,55,12.23333333,0.0
<geoprocessing describe geometry object object at 0x046AFC00>,City Park,3591.0,341.0,2816.0,299.0,0.0,53.0,0.0,0.0,82.0,9.49596213,78.41826789,8.32637148,0.0,1.475912,0.0,0.0,2.28348649,1793.0,1798.0,126.0,183.0,189.0,27.0,309.0,246.0,722.0,969.0,416.0,226.0,288.0,217.0,198.0,525.0,670.0,14.61988304,18.6577555,34.6,36.9,31.9,3580,680,59,0,204,129,44,60,184,2900,1884.0,283.0,857.0,494.0,103.0,147.0,3006.0,49.0,186.0,403.0,2368.0,3465.0,3036.0,155.0,2143,1903,240,729,1174,1903,581,453,128,14,114,1322,922,400,89,15,27,129,41,81,58,54,17,186,158,248,126,222,140,312,85429,141903,73969,136629,200297,56500,69798,52882,0,42679,27139,55465,81250,1966.0,0,288,429,108,33,122,207,117,16,823,1220,1232,630200,3262,329,26,8,9,0,9,46,26,16,4,0,184,13,0,0,0,12,61,61,8,46,7,0,10.2,10.15490534
<geoprocessing describe geometry object object at 0x04439720>,University Hills,6660.0,643.0,5202.0,267.0,22.0,223.0,0.0,20.0,283.0,9.65465465,78.10810811,4.00900901,0.33033033,3.34834835,0.0,0.3003003,4.24924925,3326.0,3334.0,528.0,535.0,175.0,21.0,1063.0,206.0,632.0,1628.0,1078.0,487.0,897.0,303.0,366.0,1259.0,1316.0,18.9039039,19.75975976,37.89987715,37.93220339,37.875,6512,996,209,19,187,198,79,117,187,5516,3185.0,688.0,1253.0,968.0,169.0,107.0,5171.0,387.0,654.0,1201.0,2929.0,6132.0,4995.0,463.0,3041,2986,55,1576,1410,2986,1552,1268,284,126,158,1434,1078,356,127,57,114,65,99,75,35,42,120,182,265,404,379,304,291,427,94306,117625,55542,117618,136908,58080,59010,56717,33666,56320,38556,58118,88599,1957.54107032,0,388,109,20,150,211,382,1607,131,43,1219,1280,451063,5919,741,354,20,12,286,36,139,102,0,37,0,7,0,0,0,0,0,241,230,0,230,0,11,6.2,0.49423394
<geoprocessing describe geometry object object at 0x04439780>,Kennedy,4138.0,1145.0,1270.0,1097.0,19.0,432.0,0.0,0.0,175.0,27.67037216,30.69115515,26.51039149,0.45915901,10.439826,0.0,0.0,4.22909618,2372.0,1766.0,179.0,106.0,30.0,145.0,285.0,319.0,1283.0,926.0,659.0,246.0,420.0,0.0,0.0,460.0,78.0,11.11648139,1.88496858,31.7,31.3,32.4,4009,836,31,58,48,30,272,289,108,3173,2774.0,302.0,1273.0,636.0,492.0,71.0,2652.0,499.0,506.0,769.0,878.0,3959.0,1857.0,651.0,2308,2077,231,0,2077,2077,592,437,155,80,75,1485,1025,460,57,99,39,80,69,112,124,147,97,171,332,532,116,0,102,0,60806,68947,33128,63433,74059,37026,45923,35057,30913,37410,25815,39195,60607,1977.0,0,233,177,213,235,1051,233,118,48,0,1328,1387,0,2552,1586,12,0,12,0,0,443,159,187,8,89,743,573,0,0,159,0,388,388,0,184,204,0,7.8,2.19594595
<geoprocessing describe geometry object object at 0x047723A0>,Goldsmith,5921.0,617.0,4290.0,565.0,35.0,123.0,0.0,6.0,285.0,10.42053707,72.45397737,9.54230704,0.59111637,2.0773518,0.0,0.10133423,4.81337612,2663.0,3258.0,696.0,292.0,270.0,30.0,988.0,369.0,1039.0,1150.0,565.0,409.0,806.0,221.0,374.0,1288.0,1040.0,21.75308225,17.56460057,34.41782609,33.81055901,34.85757121,5554,1176,159,34,245,271,59,328,80,4378,2588.0,407.0,1187.0,645.0,243.0,106.0,4129.0,208.0,746.0,1578.0,1597.0,5225.0,4329.0,399.0,2850,2629,221,800,1829,2629,1332,855,477,90,387,1297,1059,238,224,57,60,119,114,93,234,203,25,222,261,253,289,79,340,56,58355,80888,34910,79114,91466,36260,45682,31440,0,29906,29044,52866,72876,1971.48254252,0,0,66,176,250,1117,807,176,196,62,936,943,482177,5397,524,87,21,0,12,54,144,13,72,20,39,70,70,0,0,0,0,223,182,0,157,25,41,16.3,16.35120375
<geoprocessing describe geometry object object at 0x046AFC00>,Five Points,20221.0,3752.0,12562.0,2367.0,94.0,359.0,0.0,140.0,947.0,18.55496761,62.12353494,11.70565254,0.46486326,1.77538203,0.0,0.69234954,4.68325009,11008.0,9213.0,773.0,496.0,588.0,330.0,1269.0,989.0,6777.0,6097.0,2188.0,1536.0,724.0,334.0,307.0,2187.0,1216.0,10.81548885,6.01355027,31.58758406,31.58199079,31.59500191,19625,2615,310,107,164,632,236,699,467,17010,9994.0,3126.0,3687.0,2057.0,768.0,356.0,16073.0,804.0,2018.0,3549.0,9702.0,19448.0,16965.0,1534.0,12113,10989,1124,2167,8822,10989,2688,1402,1286,235,1051,8301,5437,2864,987,362,313,523,294,243,252,221,193,585,1088,1298,1007,1186,1423,1014,83349,77857,57365,106029,125926,61243,69792,52599,0,38268,41220,64555,71105,2006.51430228,19,5323,2587,431,774,80,507,137,45,2210,1089,1126,555094,19069,1152,318,209,72,0,37,280,148,77,55,0,30,0,0,0,30,0,524,488,29,355,104,36,14.9,14.50186781
<geoprocessing describe geometry object object at 0x02AB9100>,City Park West,5426.0,793.0,3518.0,803.0,12.0,108.0,0.0,0.0,192.0,14.61481755,64.83597494,14.79911537,0.22115739,1.99041651,0.0,0.0,3.53851825,2574.0,2852.0,384.0,222.0,81.0,26.0,606.0,123.0,1250.0,1347.0,693.0,491.0,548.0,277.0,91.0,713.0,774.0,13.14043494,14.26465168,34.90423163,36.38109306,33.4119403,5219,754,66,30,134,28,39,247,210,4465,2535.0,746.0,1024.0,556.0,112.0,97.0,4466.0,229.0,707.0,769.0,2761.0,5042.0,4493.0,422.0,3333,2964,369,917,2047,2964,795,656,139,21,118,2169,1741,428,348,239,95,105,148,105,43,123,82,106,153,272,208,188,364,385,68627,154891,54228,102104,172418,55553,70312,50811,0,34810,18380,66933,90802,1961.81974922,64,296,425,201,201,225,319,147,162,1293,928,931,644680,5171,255,29,0,16,0,13,66,65,0,1,0,25,9,0,0,0,0,135,132,0,132,0,3,13.85,6.29459735
<geoprocessing describe geometry object object at 0x04439720>,West Colfax,10386.0,3720.0,5754.0,569.0,23.0,104.0,0.0,5.0,211.0,35.81744656,55.40150202,5.47852879,0.22145195,1.00134797,0.0,0.04814173,2.03158097,5372.0,5014.0,409.0,516.0,451.0,302.0,925.0,906.0,1971.0,2720.0,1318.0,855.0,1015.0,439.0,237.0,1678.0,1288.0,16.15636434,12.40130946,34.60257353,35.4479844,33.50253807,10131,1942,75,138,387,297,437,277,331,8189,4935.0,1143.0,2372.0,865.0,382.0,173.0,8290.0,597.0,1459.0,1738.0,4496.0,9977.0,7981.0,1738.0,5764,5107,657,2055,3052,5107,1981,1437,544,126,418,3126,2197,929,385,137,152,195,193,69,144,138,202,299,487,585,443,304,637,737,81517,89003,60322,125841,154452,51878,58668,48906,10509,34956,28378,49735,99086,1970.26027397,266,1494,264,61,159,657,787,633,408,1035,969,981,594483,9346,1040,63,49,0,0,14,180,73,0,38,69,46,22,0,0,24,11,740,698,0,490,208,42,9.625,6.82634305
<geoprocessing describe geometry object object at 0x044394E0>,East Colfax,10645.0,3173.0,3899.0,2246.0,26.0,808.0,0.0,11.0,482.0,29.80742132,36.62752466,21.09910756,0.24424612,7.59041804,0.0,0.1033349,4.52794739,5598.0,5047.0,615.0,597.0,631.0,434.0,1212.0,1494.0,1638.0,2365.0,1583.0,1213.0,766.0,278.0,96.0,2277.0,938.0,21.3903241,8.81164866,33.72367865,32.24543611,34.78063814,10219,2730,142,121,427,596,645,671,128,7489,5241.0,1020.0,1961.0,1447.0,437.0,376.0,7204.0,1268.0,1383.0,2026.0,2527.0,10030.0,6519.0,1722.0,4782,4467,315,1533,2934,4467,2412,1503,909,215,694,2055,1454,601,228,298,132,145,198,224,133,227,170,353,393,1010,249,285,329,93,64790,63498,35141,79476,81635,37325,38652,35975,29482,19198,37932,58438,72812,1957.83078603,0,100,296,83,498,698,597,916,1111,483,955,981,364352,8070,2575,110,49,7,0,54,765,33,195,511,26,887,675,19,84,109,0,813,813,0,604,209,0,17.0,13.94763314
<geoprocessing describe geometry object object at 0x047723E0>,Washington Park,7302.0,509.0,6509.0,63.0,24.0,82.0,7.0,29.0,79.0,6.97069296,89.13996165,0.86277732,0.32867707,1.12298001,0.09586415,0.39715147,1.08189537,3775.0,3527.0,353.0,466.0,320.0,195.0,819.0,577.0,646.0,923.0,1326.0,1054.0,1110.0,652.0,195.0,1334.0,1822.0,18.26896741,24.95206793,44.6561086,43.80722071,45.70861486,7134,1517,185,128,348,217,251,224,164,5617,2951.0,637.0,1314.0,722.0,144.0,134.0,5637.0,105.0,345.0,505.0,4682.0,6949.0,6625.0,163.0,3527,3177,350,2700,477,3177,1996,1776,220,71,149,1181,882,299,91,39,7,50,43,30,53,30,53,177,104,243,254,248,363,1392,172933,201459,107544,238206,282532,79848,100555,52471,0,0,44507,84202,107278,1939.0,0,287,248,95,54,467,168,177,118,1913,1491,1530,837921,7011,291,67,47,20,0,0,62,19,17,26,0,51,12,0,0,39,0,111,65,11,10,44,46,5.25,4.93804473
<geoprocessing describe geometry object object at 0x04439580>,Lincoln Park,6566.0,2685.0,2775.0,746.0,24.0,143.0,0.0,0.0,193.0,40.89247639,42.26317393,11.36155955,0.36551934,2.17788608,0.0,0.0,2.93938471,3501.0,3065.0,427.0,330.0,154.0,149.0,757.0,438.0,1352.0,1571.0,1037.0,481.0,621.0,283.0,26.0,1060.0,697.0,16.14377094,10.61529089,34.21642266,35.28325942,32.77802691,6365,1111,114,60,251,87,177,281,141,5254,3093.0,710.0,1167.0,915.0,200.0,101.0,5005.0,611.0,946.0,1269.0,2179.0,6139.0,4411.0,1254.0,3656,3351,305,1074,2277,3351,1193,582,611,416,195,2158,1572,586,338,310,157,212,60,249,74,43,20,231,518,239,301,135,229,235,59198,68920,42124,80330,102328,44007,58296,31652,9792,33254,46712,73896,71146,1981.34168865,25,862,86,210,758,199,226,122,6,1162,949,980,433333,5350,1216,75,39,0,26,10,103,67,9,15,12,339,241,91,0,7,12,687,678,0,665,13,9,25.1,11.69423201
<geoprocessing describe geometry object object at 0x04439780>,Montclair,6307.0,1283.0,4287.0,297.0,0.0,113.0,0.0,0.0,327.0,20.34247661,67.9720945,4.70905343,0.0,1.79166006,0.0,0.0,5.1847154,3270.0,3037.0,175.0,253.0,452.0,193.0,428.0,646.0,869.0,1181.0,1298.0,927.0,587.0,295.0,76.0,1073.0,982.0,17.01284287,15.57000159,40.20454545,41.18352601,37.88407258,6178,1235,34,90,181,297,330,150,153,4943,3364.0,677.0,1453.0,891.0,122.0,221.0,5029.0,251.0,325.0,950.0,3503.0,6132.0,5501.0,283.0,3185,3092,93,2273,819,3092,1381,1119,262,136,126,1711,1223,488,51,8,106,13,71,61,164,167,35,215,247,353,375,423,268,535,103667,140905,65672,133297,181426,59735,59253,60138,18228,21488,41956,85150,80574,1948.93739771,0,176,57,146,169,211,170,655,1222,379,986,990,539454,5745,562,217,9,18,0,140,154,87,42,25,0,18,18,0,0,0,0,173,163,0,137,26,10,5.4,0.56100982
