NBHD_NAME,TTL_POPULATION_ALL,HISPANIC_OR_LATINO,WHITE,BLACK,NATIVE_AMERICAN,ASIAN,HAWAIIAN_PI,OTHER_RACE,TWO_OR_MORE,PCT_HISPANIC,PCT_WHITE,PCT_BLACK,PCT_NATIVEAM,PCT_ASIAN,PCT_HAWAIIANPI,PCT_OTHERRACE,PCT_TWOORMORE_RACES,MALE,FEMALE,AGE_LESS_5,AGE_5_TO_9,AGE_10_TO_14,AGE_15_TO_17,AGE_0_TO_9,AGE_10_TO_19,AGE_20_TO_29,AGE_30_TO_39,AGE_40_TO_49,AGE_50_TO_59,AGE_60_TO_69,AGE_70_TO_79,AGE_80_PLUS,AGELESS18,AGE65PLUS,PCT_AGELESS18,PCT_AGE65PLUS,MEDIAN_AGE_ALL,MEDIAN_AGE_MALE,MEDIAN_AGE_FEMALE,TTL_AGE_3_PLUS_ENRSTATUS,ENROLLED_IN_SCHOOL,NURSERY_OR_PRESCHOOL,KINDERGARTEN,GRADES_1_TO_4,GRADES_5_TO_8,GRADES_9_TO_12,COLLEGE_UNDERGRADUATE,GRADUATE_SCHOOL,NOT_ENROLLED,TOTAL_COMMUTERS,COMMUTE_LESS_15,COMMUTE_15_TO_30,COMMUTE_30_TO_45,COMMUTE_45_TO_60,COMMUTE_60_TO_PLUS,TTLPOP_25PLUS_EDU,LESS_THAN_HS_DIPLOMA_EDU,HSGRAD_OR_EQUIV_EDU,SOMECOLLEGE_OR_AA_EDU,BACHELORS_OR_HIGHER_EDU,TTLPOP_5PLUS_LNG,ONLY_ENGLISH_LNG,SPANISH_LNG,TTL_HOUSING_UNITS,OCCUPIED_HU,VACANT_HU,OWNER_OCCUPIED_HU,RENTER_OCCUPIED_HU,TTL_HOUSEHOLDS,FAMILY_HOUSEHOLDS,MARRIED_COUPLE_FAMILY,OTHER_FAMILY,MALE_HHLDR_NO_WIFE_PRESENT,FEMALE_HHLDR_NO_HSBND_PRESENT,NONFAMILY_HOUSEHOLD,HOUSEHOLDER_ALONE,HOUSEHOLDER_NOT_ALONE,HH_INC_LESS_10000,HH_INC_10000_14999,HH_INC_15000_19999,HH_INC_20000_24999,HH_INC_25000_29999,HH_INC_30000_34999,HH_INC_35000_39999,HH_INC_40000_44999,HH_INC_45000_49999,HH_INC_50000_59999,HH_INC_60000_74999,HH_INC_75000_99999,HH_INC_100000_124999,HH_INC_125000_149999,HH_INC_150000_199999,HH_INC_OVER_200000,MED_HH_INCOME,MED_FAMILY_INCOME,PER_CAPITA_INCOME,AVG_HH_INCOME,AVG_FAM_INCOME,MEDIAN_EARNINGS,MEDIAN_EARN_MALE,MEDIAN_EARN_FEMALE,MEDEARN_LESSHS,MEDEARN_HIGHSCHOOL,MEDEARN_SOMECOLLEGE,MEDEARN_BACHELORS,MEDEARN_GRAD_PROFESSIONAL,MED_YR_STRUCTURE_BUILT,BUILT_2014_OR_LATER,BUILT_2010_2013,BUILT_2000_2009,BUILT_1990_1999,BUILT_1980_1989,BUILT_1970_1979,BUILT_1960_1969,BUILT_1950_1959,BUILT_1940_1949,BUILT_1939_OR_EARLIER,MED_CONTRACT_RENT,MED_GROSS_RENT,MEDIAN_HOME_VALUE,NATIVE,FOREIGN_BORN_FB,EUROPEAN_FB,NORTHERN_EUROPE_FB,WESTERN_EUROPE_FB,SOUTHERN_EUROPE_FB,EASTERN_EUROPE_FB,ASIA_FB,EASTERN_ASIA_FB,SOUTH_CENTRAL_ASIA_FB,SOUTH_EASTERN_ASIA_FB,WESTERN_ASIA_FB,AFRICA_FB,EASTERN_AFRICA_FB,MIDDLE_AFRICA_FB,SOUTHERN_AFRICA_FB,WESTERN_AFRICA_FB,OCEANIA_FB,AMERICAS_FB,LATIN_AMERICA_FB,CARRIBEAN_FB,CENTRAL_AMERICA_FB,SOUTH_AMERICA_FB,NORTH_AMERICA_FB,PCT_POVERTY,PCT_FAM_POVERTY
Chaffee Park,3881.0,2285.0,1438.0,69.0,0.0,32.0,14.0,0.0,43.0,58.8765782,37.05230611,1.7778923,0.0,0.82452976,0.36073177,0.0,1.10796187,1908.0,1973.0,148.0,147.0,220.0,158.0,295.0,441.0,554.0,778.0,423.0,560.0,458.0,212.0,160.0,673.0,741.0,17.34089152,19.09301726,37.2,35.8,37.9,3781,804,54,35,101,191,147,95,181,2977,1845.0,335.0,841.0,408.0,179.0,82.0,2978.0,718.0,810.0,626.0,824.0,3733.0,2150.0,1516.0,1666,1602,64,1115,487,1602,826,665,161,40,121,776,648,128,101,140,40,94,88,44,153,54,74,70,212,212,141,114,25,40,52031,64227,29734,52031,64227,40184,42267,36953,27113,22128,37222,49000,64318,1949.0,36,88,30,37,33,70,122,315,817,118,1113,1206,229100,3092,789,6,0,6,0,0,32,25,0,7,0,5,5,0,0,0,0,746,746,0,746,0,0,9.7,6.41646489
Sunnyside,10048.0,4935.0,4465.0,272.0,156.0,115.0,0.0,9.0,96.0,50.24507188,43.18202611,2.84076518,1.58728823,1.07119929,0.0,0.10830273,0.96534659,4965.0,5083.0,661.0,541.0,604.0,249.0,1202.0,930.0,1736.0,2429.0,1137.0,1145.0,642.0,618.0,209.0,2055.0,1349.0,20.32505545,13.06954507,34.13333333,33.13333333,34.73333333,9565,2047,206,124,404,499,285,341,188,7518,5071.0,1003.0,2351.0,934.0,410.0,373.0,7445.0,1473.0,1677.0,1626.0,2669.0,9387.0,7140.0,2014.0,4340,4101,239,2165,1936,4101,2336,1314,1022,251,771,1765,1278,487,616,142,175,166,157,223,168,97,138,408,281,516,372,243,232,167,54296,58823,30269,54296,58823,39133,41154,36605,20883,27433,34840,57121,61523,1943.0,26,91,56,125,134,214,208,821,543,2122,751,834,331367,8953,1095,107,9,0,52,46,107,28,2,52,25,23,13,0,0,10,17,841,830,0,811,19,11,19.83333333,17.47755556
Highland,9001.0,1939.0,6553.0,128.0,181.0,118.0,0.0,0.0,82.0,22.81615208,71.64597535,1.44443701,1.8069534,1.37501087,0.0,0.0,0.91147129,4676.0,4325.0,342.0,283.0,395.0,214.0,625.0,681.0,1834.0,2289.0,1603.0,796.0,638.0,238.0,297.0,1234.0,1077.0,14.37739086,11.38740021,34.5,34.4,35.8,8753,1415,126,29,247,272,271,225,245,7338,5386.0,1442.0,2016.0,1337.0,369.0,222.0,7351.0,657.0,821.0,978.0,4895.0,8659.0,7275.0,1168.0,5268,4769,499,2088,2681,4769,1522,1092,430,181,249,3247,2377,870,305,212,54,276,183,173,93,97,139,162,492,599,512,331,586,555,80768,111648,57393,80768,111648,55252,63837,48456,35778,25601,37254,64128,71496,1956.0,326,479,688,207,215,263,281,368,242,2199,1467,1536,416400,8028,973,176,40,31,38,67,124,52,23,35,14,0,0,0,0,0,0,673,592,0,548,44,81,8.8,4.86754828
Globeville,4225.0,2413.0,1469.0,222.0,11.0,19.0,0.0,12.0,79.0,57.11242604,34.76923077,5.25443787,0.26035503,0.44970414,0.0,0.28402367,1.86982249,2413.0,1812.0,278.0,381.0,275.0,79.0,659.0,819.0,920.0,708.0,305.0,436.0,248.0,76.0,54.0,1013.0,282.0,23.97633136,6.67455621,28.0,26.6,30.1,4089,1455,30,72,309,243,79,716,6,2634,1748.0,317.0,796.0,510.0,31.0,94.0,2292.0,720.0,777.0,441.0,354.0,3947.0,2226.0,1596.0,1221,1134,87,469,665,1134,737,397,340,103,237,397,298,99,136,29,98,62,86,72,88,70,28,161,104,129,48,8,7,8,39808,45764,14745,39808,45764,27706,30508,24531,26604,27030,36065,28281,31146,1941.0,18,31,158,67,0,44,119,25,170,589,765,900,167700,3335,890,34,19,15,0,0,19,19,0,0,0,25,25,0,0,0,5,807,807,0,789,18,0,33.9,24.15196744
Jefferson Park,3248.0,1460.0,1612.0,42.0,25.0,89.0,0.0,0.0,20.0,44.95073892,49.63054187,1.29310345,0.76970443,2.74014778,0.0,0.0,0.61576355,1589.0,1659.0,177.0,129.0,63.0,55.0,306.0,141.0,970.0,1159.0,287.0,204.0,98.0,58.0,25.0,424.0,155.0,13.05418719,4.77216749,31.2,31.9,30.8,3125,592,17,0,95,27,91,206,156,2533,2068.0,495.0,1003.0,273.0,132.0,165.0,2649.0,643.0,381.0,389.0,1236.0,3071.0,1819.0,1111.0,1889,1744,145,396,1348,1744,641,463,178,72,106,1103,774,329,159,66,124,71,115,49,127,79,76,128,114,144,153,129,82,128,50682,46434,49988,50682,46434,34704,34792,34125,17807,18958,27000,53125,62258,1977.0,360,127,353,21,29,190,126,250,26,407,859,942,455600,2413,835,37,13,0,0,24,30,15,7,8,0,0,0,0,0,0,0,768,768,0,747,21,0,23.4,21.99687988
Sun Valley,1441.0,686.0,171.0,455.0,34.0,95.0,0.0,0.0,0.0,47.60582929,11.8667592,31.57529493,2.35947259,6.592644,0.0,0.0,0.0,743.0,698.0,340.0,197.0,174.0,82.0,537.0,338.0,156.0,137.0,90.0,37.0,109.0,2.0,35.0,793.0,106.0,55.03122831,7.35600278,15.5,11.8,24.7,1232,673,72,65,159,97,167,77,36,559,189.0,35.0,114.0,16.0,16.0,8.0,520.0,245.0,137.0,122.0,16.0,1101.0,640.0,209.0,493,459,34,39,420,459,295,53,242,14,228,164,157,7,255,37,57,33,21,27,10,0,7,12,0,0,0,0,0,0,9578,9719,4854,9578,9719,10152,20769,7794,None,None,None,None,None,1956.0,0,0,0,37,22,42,68,191,36,97,229,242,None,1151,290,1,0,0,0,1,144,0,8,95,41,111,45,66,0,0,0,34,34,0,34,0,0,80.6,74.91525424
Valverde,4238.0,3278.0,472.0,165.0,0.0,287.0,0.0,28.0,8.0,77.34780557,11.13732893,3.89334592,0.0,6.77206229,0.0,0.660689,0.18876829,2133.0,2105.0,300.0,515.0,308.0,190.0,815.0,565.0,411.0,682.0,633.0,527.0,305.0,196.0,104.0,1313.0,487.0,30.98159509,11.49126947,34.2,34.4,33.8,4082,1205,94,112,506,168,231,82,12,2877,1697.0,248.0,477.0,734.0,166.0,72.0,2622.0,1001.0,837.0,370.0,414.0,3938.0,1322.0,2259.0,1347,1306,41,632,674,1306,937,587,350,87,263,369,333,36,126,90,99,161,62,12,145,115,37,134,123,50,99,11,31,11,37407,43341,15842,37407,43341,27949,33185,21769,25000,28821,25603,30152,46651,1952.0,0,33,13,17,44,49,60,604,310,217,886,1011,190400,2659,1579,0,0,0,0,0,215,21,0,194,0,148,28,0,0,120,0,1216,1216,5,1163,48,0,16.7,17.28922092
Athmar Park,9746.0,6918.0,2095.0,163.0,56.0,420.0,10.0,6.0,78.0,70.94169262,21.79903763,1.61857924,0.65192084,3.9487879,0.09172629,0.05503577,0.89321971,5160.0,4586.0,600.0,800.0,761.0,334.0,1400.0,1332.0,1525.0,1589.0,1464.0,909.0,775.0,541.0,211.0,2495.0,1470.0,25.79397272,15.01196072,32.95,31.2,34.15,9340,2447,107,224,684,607,442,282,101,6893,4501.0,917.0,1553.0,1501.0,208.0,322.0,6490.0,2002.0,2079.0,1370.0,1039.0,9146.0,3944.0,4749.0,3152,3125,27,1851,1274,3125,2059,1258,801,334,467,1066,753,313,117,158,145,165,154,185,299,236,140,301,461,333,162,150,100,19,49194,50805,20184,49194,50805,31567,33668,24964,28028,24522,34204,46278,55030,1955.0,0,0,38,102,92,203,141,1951,459,166,1022,1210,203600,6965,2781,20,11,9,0,0,360,15,31,298,16,0,0,0,0,0,0,2401,2401,0,2400,1,0,16.2,14.21792556
Union Station,5878.0,520.0,4864.0,69.0,9.0,355.0,0.0,0.0,61.0,8.84654644,82.74923443,1.17386866,0.1531133,6.03946921,0.0,0.0,1.03776795,3568.0,2310.0,94.0,53.0,37.0,11.0,147.0,82.0,1389.0,1415.0,786.0,905.0,661.0,263.0,230.0,195.0,821.0,3.31745492,13.96733583,38.3,36.3,42.9,5801,550,17,15,38,37,11,180,252,5251,3655.0,1132.0,1419.0,752.0,262.0,90.0,5389.0,347.0,485.0,654.0,3903.0,5784.0,5193.0,91.0,4856,3946,910,1298,2648,3946,894,800,94,44,50,3052,2310,742,550,218,134,0,80,36,67,13,0,204,214,516,398,366,408,742,95921,132361,93564,95921,132361,76399,79306,73358,36309,19432,55774,73140,108309,2000.0,692,386,1402,335,516,417,153,129,18,808,1710,1759,557600,5315,563,161,79,15,0,67,357,281,51,25,0,0,0,0,0,0,26,19,19,0,0,19,0,15.5,13.64653244
Stapleton,21763.0,2180.0,15855.0,1770.0,61.0,818.0,0.0,54.0,1025.0,9.96995483,72.77923018,8.08277686,0.24129747,3.96926385,0.0,0.21360759,4.74386921,10503.0,11260.0,2533.0,2283.0,1534.0,310.0,4816.0,1896.0,1434.0,5628.0,4495.0,1608.0,1048.0,632.0,206.0,6660.0,1699.0,30.61481656,8.02761608,35.3,34.4,35.85,20196,5424,772,531,1782,1293,368,276,402,14772,8876.0,1441.0,4114.0,2430.0,704.0,187.0,14769.0,676.0,1727.0,2313.0,10053.0,19230.0,17336.0,1067.0,7455,7272,183,5292,1980,7272,5115,4168,947,275,672,2157,1705,452,208,108,102,120,145,93,139,136,184,336,398,747,711,894,1035,1916,127061,151926,51718,127061,151926,78853,91888,65573,5929,35857,42813,82359,93330,2008.0,1158,1733,4203,253,42,0,24,25,0,17,1592,1686,505550,20546,1217,278,92,51,15,120,511,306,43,129,33,116,108,0,8,0,9,303,244,42,184,18,59,3.3,1.55570831
